precise,"a. 精确的, 严谨的, 明确的
"
correspond,"vi. 符合, 通信, 相当
"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
dominant,"a. 占优势的, 支配的
"
sonnet,n. 十四行诗
deadline,"n. 最后期限, 截止期限
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
wherever,adv. 无论哪里
barren,"a. 不育的, 贫瘠的
n. 荒地"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
complicated,"a. 复杂的
"
variation,"n. 变更, 变化, 变种, 变奏
"
racial,"a. 人种的, 种族的
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
Shakespeare,n. 莎士比亚
The Crescent Moon,无
Tagore,"n. [人名]泰戈尔(印度诗人,曾获1913年诺贝尔文学奖,1861-1941)"
Elizabeth Barrett Browning,伊丽莎白·芭蕾特·布朗宁（人名）
Robert Browning,布朗宁
the Victorian era,无
Sonnets from the Portuguese,无
Langston Hughes,休斯
