brigade,"n. 旅, 队
"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
recourse,"n. 求援, 求助, 追索权
"
rollerblade,"n. 直排轮滑; 滚轴溜冰; 滑旱冰
vi. 滑旱冰"
roster,n. 花名册
sabbatical,"a. 安息日的, 休假的"
savor,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 加调味品于, 使有风味, 尝到"
scoot,"vi. 快跑, 奔跑"
seminar,"n. 研究班, 专题讨论会
"
serendipity,"n. 偶然发现珍宝的运气/才能, 易遇奇缘的运气"
shuck,"n. 壳, 外皮, 牡蛎壳
v. 剥去, 脱去"
smorgasbord,n. 瑞典式自助餐
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
tango,"n. 探戈舞, 探戈舞曲
vi. 跳探戈舞"
blow off,"吹掉, 放出"
hem in,"un. 结结巴巴地说起话来；限制；太狭窄；围住
"
ratchet up,[网络] 逐渐升高；增加；渐进
aluminum,"n. 铝
"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
bureau,"n. 局, 办公处
"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
cot,"n. 行军床, 小屋, (家畜等的)棚, (家畜等的)栏
"
crease,"n. 皱痕, 折痕
v. (使)起皱痕"
cross-stitch, 十字缝
crux,"n. 十字架形, 关键, 难题
"
enfeeble,vt. 使衰弱
ferocity,"n. 凶猛, 残忍, 狂暴的行为"
flashbulb,n. 闪光灯泡
grime,"n. 尘垢, 煤尘, 污点
vt. 使污秽, 使...弄脏"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
oatmeal,"n. 燕麦片, 燕麦粥
"
sampler,"n. 样品检验员, 刺绣样品
"
French knot,法国结；法兰西结；法式花芯结
tote bag,n. 大手提袋
