nationality,"n. 国籍, 国家, 民族性
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
muscle,"n. 肌肉, 臂力
"
lunch,n. 午餐
satellite,"n. 人造卫星
"
achievement,"n. 完成, 成就, 功业"
briefly,"adv. 简短地, 扼要地, 简明地, 简单地"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
effort,"n. 努力, 成就"
citizen,"n. 市民, 公民
"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
unknown,"a. 不知道的, 未知的, 陌生的
n. 未知物, 未知数"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
spacesuit,n. 太空衣
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
pick up,"v. 拾起；探出；重新开始
"
unlucky,"a. 不吉利的, 不祥的, 不幸的"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
Earth,[网络] 莉莎的天空
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
physics,"n. 物理学, 物理过程, 物理现象
"
chemistry,"n. 化学, 化学过程
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
role model,n. 榜样; 模范
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
faithfully,"adv. 忠实地, 诚心诚意地, 深信着地"
literature,"n. 文学, 文艺, 著作
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
gable,"n. 山形墙, 人字板"
carriage,"n. 马车, 客车, 举止, 运输
"
passenger,"n. 乘客, 旅客
"
braid,"n. 辫子, 穗带
vt. 编成辫, 镶边"
freckle,"n. 雀斑, 斑点
"
make up one's mind,"下决心, 接受, 承认"
cherry,"n. 樱桃, 樱桃树, 樱桃色
"
lovely,"a. 可爱的, 有趣的"
shyly,adv. 害羞地；羞怯地；胆怯地；小心地
normally,"adv. 正规地, 合规则, 正常地"
apologise,vi. 道歉（等于apologize）
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
tusk,"n. 长牙, 獠牙, 尖物
vt. 以长牙刺戳, 以长牙掘"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
"
upon,"prep. 在...之上, 迫近, 紧接着"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
king,"n. 国王, 君主
vt. 使...成为君主
vi. 君临, 统治"
officer,"n. 军官, 主管, 官员, 公务员
vt. 指挥"
cloth,"n. 布料, 织品, 布
"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
obviously,"adv. 显而易见地, 明显地"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
usual,"a. 平常的, 通常的"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
pretend,"v. 假装, 伪称, 自命, 自称"
other than,"不同于, 除了"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
theme park,n. （游乐园中的）主题乐园; 主题公园
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
related to,与…有关
remarry,v. (使)再婚
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
carelessness,n. 粗心大意
celebrate,"v. 庆祝, 祝贺, 举行"
enjoy oneself,过得快乐
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
hard-working,辛勤工作的
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
voting,"n. 投票, 选举
a. 投票的, 选举的"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
challenging,"a. 挑战的, 引起争论的"
cultural,"a. 文化的, 教养的, 修养的
"
teammate,n. 队友
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
foundation,"n. 基础, 根据, 建立
"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
policewoman,"n. 女警察
"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
