bucolic,"a. 牧民的, 牧歌的, 乡下风味的
n. 田园诗, 农夫"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
burnish,"vt. 擦亮, 打磨, 磨光
vi. 磨光发亮
n. 光辉, 光泽"
buttress,"n. 拱壁, 扶壁, 支持物
vt. 支持, 以扶壁支撑"
cacophonous,"a. 发音不和谐的, 粗腔横调的"
cadge,"v. 行乞, 乞讨, 贩卖"
callous,"a. 麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
vt. 使生茧, 使变硬"
calumny,"n. 诽谤, 中伤
"
canard,"n. 谣言, 误传"
canon,"n. 教会法规, 圣典, 准则, 标准, 教士
"
cant,"n. 伪善之言, 黑话, 斜面, 角落
vi. 讲黑话, 倾斜"
cantankerous,"a. 专爱唱反调的, 爱吵架的"
capricious,"a. 反复无常的, 多变的, 任性的"
captious,"a. 吹毛求疵的, 挑剔的"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
carnal,"a. 肉体的, 肉欲的
"
carp,"n. 鲤鱼
vi. 吹毛求疵, 挑剔"
cartography,"n. 地图制作, 制图学, 制图"
caste,"n. 印度的种姓制度, (排他的)社会团体"
castigation,"n. 惩罚, 苛评, 修订"
cataclysm,"n. 大洪水, 地震, (社会政治的)大变动
"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
categorical,"a. 范畴的, 绝对的, 明确的"
caucus,"n. 领导人会议, 核心会议
vi. 开核心会议"
causal,"a. 原因的, 因果关系的, 表示原因或理由的
n. 表示原因的连词"
caustic,"n. 腐蚀剂
a. 腐蚀性的"
celestial,"a. 天的, 天国的, 天空的
"
centrifugal,"a. 离心的
n. 离心机, (离心机的)转筒"
centripetal,"a. 向心的
"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
chasten,vt. 惩罚；磨炼；抑制
chicanery,"n. 强词夺理, 狡辩, 欺骗"
chivalry,"n. 骑士精神, 骑士制度"
churlish,a. 粗野的
circuitous,"a. 迂回的, 间接的, 绕行的"
clairvoyant,"a. 神视的, 有洞察力的
n. 有洞察力的人, 千里眼"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
clique,"n. 派系, 集团
vi. 结党
"
cloister,"n. 修道院, 回廊
vt. 使与尘世隔绝"
coagulate,"v. (使)凝结
a. 凝结的"
coalesce,"vi. 合并, 联合, 合生
"
coda,"n. 尾音, 乐章结尾部, 结尾段"
codify,"vt. 编成法典
"
cognizant,"a. 察知的, 认识到的, 有认识能力的
"
collage,n. 拼贴画
commensurate,"a. 同量的, 同等的, 相称的"
compendium,"n. 纲要, 概略
"
complacent,"a. 满足的, 自满的, 得意的"
complaisant,"a. 谦恭的, 殷勤的, 顺从的"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
compliant,"a. 顺从的, 屈从的
"
compunction,"n. 良心的责备, 后悔, 悔恨"
concave,"a. 凹的
"
conciliatory,"a. 安抚的, 和好的, 调和的"
concoct,"vt. 调合, 捏造, 编造
"
concomitant,"a. 相伴的, 伴随的, 共存的
n. 伴随物"
condone,"vt. 赦, 宽恕
"
confound,"vt. 使混淆, 使狼狈, 挫败"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
conjugal,"a. 婚姻的, 配偶的
"
connoisseur,"n. 鉴赏家, 鉴定家, 内行"
conscript,"a. 被征入伍的, 被征召的
n. 征兵
vt. 征召"
consecrate,"vt. 把...供祭祀用, 奉献, 使神圣
a. 被献给神的, 神圣的"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
contiguous,"a. 邻近的, 接近的
"
continence,"n. 自制
"
contrite,"a. 悔悟了的, 后悔的, 痛悔的"
contumacious,"a. 不听命令的, 反抗权威的, 反抗法院命令的
"
conundrum,"n. 谜语, 难题"
convention,"n. 大会, 协定, 惯例, 约定
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
convex,"a. 中凸的, 凸圆的, 凸面的
n. 凸状, 凸面体, 凸面结构"
convivial,"a. 酒宴的, 欢宴的, 欢乐的"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
copious,"a. 很多的, 丰富的, 内容丰富的"
coquette,"n. 卖弄风情的女人, 蜂鸟
vi. 卖弄风情, 卖俏, 玩弄, 轻浮地对待"
cornucopia,"n. 丰盛
"
cosmology,"n. 宇宙哲学, 宇宙论
"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
covetous,"a. 贪婪的, 妄想的"
cozen,"v. 欺骗, 瞒"
craven,"n. 懦夫, 怯懦者, 胆小鬼
a. 怯懦的, 畏缩的, 胆小的"
credence,"n. 信任, 祭器台, 供桌, 凭证
"
credo,n. 信条
daunt,"vt. 威吓, 难倒, 使气馁"
dearth,"n. 缺乏, 粮食不足, 饥馑"
debauchery,"n. 放荡, 堕落"
decorum,"n. 端正, 礼貌, 合宜, 礼仪"
defame,"vt. 诽谤, 中伤, 破坏名誉
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
deference,"n. 顺从, 尊重"
defunct,"a. 死的, 不能使用的
n. 死者"
delineate,"vt. 描绘...的轮廓, 描绘, 描写"
demographic,"a. 人口统计的
"
